Country,selected,not_selected,sum,percentage
Afghanistan,44871,59147,104018,57
Syria,22087,74774,96861,77
Ukraine,4472,14989,19461,77
Venezuela,41032,71618,112650,64
South Sudan,1874,757,2631,29
